quarter,country_name,default_rate,loss_rate,lgd
2017-Q3,Austria,0.006983056,0.259917726,0.297934065
2017-Q3,Belgium,0.008040783,0.137112553,0.276659486
2017-Q3,Bulgaria,NA,NA,0.396058829
2017-Q3,Croatia,0.066124256,0.194363824,0.381179139
2017-Q3,Cyprus,0.034964245,NA,0.296522561
2017-Q3,Czech,0.007797665,0.318136816,0.328761401
2017-Q3,Denmark,0.006084031,0.162260008,0.227055689
2017-Q3,Estonia,NA,NA,0.416719766
2017-Q3,Finland,0.016695356,0.366357423,0.378191556
2017-Q3,France,0.005988039,0.379402824,0.335033694
2017-Q3,Germany,0.01063766,0.185630494,0.359312211
2017-Q3,Greece,0.048563949,0.158120524,0.39763382
2017-Q3,Hungary,0.008159906,0.364754595,0.398999149
2017-Q3,Ireland,0.016140926,0.200152206,0.352565975
2017-Q3,Italy,0.058783688,0.385539291,0.371842069
2017-Q3,Latvia,0.014671052,0.694160828,0.422713559
2017-Q3,Lithuania,NA,NA,0.419503026
2017-Q3,Luxembourg,0.006439115,0.267100723,0.321062435
2017-Q3,Malta,0.035189741,NA,0.354869358
2017-Q3,Netherlands,0.020153319,0.097754904,0.274246523
2017-Q3,Norway,0.015561655,0.144075845,0.266978017
2017-Q3,Poland,0.011344966,0.366940725,0.327492094
2017-Q3,Portugal,0.02875727,NA,0.40740626
2017-Q3,Romania,NA,NA,0.382398004
2017-Q3,Slovakia,0.02079092,0.610733573,0.40224065
2017-Q3,Slovenia,0.020612658,0.269894902,0.404473246
2017-Q3,Spain,0.031110154,0.323697472,0.344997968
2017-Q3,Sweden,0.001815035,0.174254002,0.291117372
2017-Q3,United Kingdom,0.009038455,0.103006272,0.354656799
2017-Q3,Australia,0.011501144,0.138230711,0.30254456
2017-Q3,Canada,NA,0.116046894,0.358527503
2017-Q3,China,0.002837071,NA,0.463585607
2017-Q3,Hong Kong,0.004861036,NA,0.359398534
2017-Q3,India,0.011802375,0.575423256,0.473214391
2017-Q3,"Korea, Republic Of",NA,NA,0.361107768
2017-Q3,Russian Federation,0.007070166,NA,0.383191692
2017-Q3,Singapore,0.014457411,0.115561508,0.300281758
2017-Q3,Switzerland,0.002284747,0.08243627,0.32926631
2017-Q3,United States,0.007597363,0.181905193,0.320158838
2017-Q4,Austria,0.019537220829489423,0.3159958099511711,0.2973038153601134
2017-Q4,Belgium,0.007618421296425273,0.14486615658028654,0.2776714350687297
2017-Q4,Bulgaria,NA,NA,0.3956529675843251
2017-Q4,Croatia,0.07037529900761576,0.21439542708446394,0.3832451413287827
2017-Q4,Cyprus,NA,NA,0.27965733890376315
2017-Q4,Czech,0.00738235104501488,0.32942100846848665,0.3351458255227724
2017-Q4,Denmark,0.006623541231872741,0.16583607903179046,0.2231369509799264
2017-Q4,Estonia,NA,NA,0.4166464416803457
2017-Q4,Finland,0.008842097012179527,NA,0.3399841570052751
2017-Q4,France,0.00583339540384874,0.3623156789595738,0.3362312424829255
2017-Q4,Germany,0.010033022940771704,0.26391467267168606,0.3579140658116091
2017-Q4,Greece,NA,NA,0.40509956969356115
2017-Q4,Hungary,0.0038658461524591534,0.43413528600969914,0.39830064676143173
2017-Q4,Ireland,0.019958640695947563,0.25865283178779047,0.3406217018650572
2017-Q4,Italy,0.06903441664230464,0.3989473460533174,0.37300569529427
2017-Q4,Latvia,0.018433969843493058,0.5927791027831714,0.42443716353161404
2017-Q4,Lithuania,NA,NA,0.4118670710762553
2017-Q4,Luxembourg,0.007838044906781538,0.3128006401507482,0.3170763915874337
2017-Q4,Malta,NA,NA,0.3387938397211952
2017-Q4,Netherlands,0.0232249182584019,0.08545365761899124,0.2578355380628801
2017-Q4,Norway,0.014465768422234052,0.1327851120670289,0.2661228778982384
2017-Q4,Poland,0.011473342336319007,0.40130087234967254,0.31584444338462553
2017-Q4,Portugal,0.031153315175873615,0.34389009502748547,0.4181065379156018
2017-Q4,Romania,NA,NA,0.3813104415333641
2017-Q4,Slovakia,0.019757808669228816,0.6762334198590294,0.39942391404051847
2017-Q4,Slovenia,0.01940529517968277,0.3264206856950657,0.40687923793088004
2017-Q4,Spain,0.031836540872412195,0.28379845616438165,0.40316547417024573
2017-Q4,Sweden,0.0017670518731758014,0.14844501432141158,0.2508195294830595
2017-Q4,United Kingdom,0.0123656138240527,0.1547571401032087,0.3421339164431248
2017-Q4,Australia,0.006224246654276795,NA,0.3015329203141975
2017-Q4,Canada,0.004608845845273187,0.1809642720317526,0.3559881848359316
2017-Q4,China,NA,NA,0.4777088619092467
2017-Q4,Hong Kong,0.004873786547176589,NA,0.3636165445118422
2017-Q4,India,0.013032820377314453,NA,0.47482427736588523
2017-Q4,"Korea, Republic Of",NA,NA,0.34164514655502615
2017-Q4,Russian Federation,NA,NA,0.3986987298227177
2017-Q4,Singapore,0.012505604232571622,NA,0.31333948757240243
2017-Q4,Switzerland,0.0013961846157473914,NA,0.33812348012569277
2017-Q4,United States,0.005699441793729974,0.28195477445221995,0.3313913436258232
2018-Q1,Austria,0.014786136,0.293980209,0.29603755
2018-Q1,Belgium,0.008103107,0.169872951,0.287837255
2018-Q1,Bulgaria,NA,NA,0.386581581
2018-Q1,Croatia,0.076683490000000007,0.244618052,0.38708733
2018-Q1,Cyprus,0.055575827,0.059812095,0.309109258
2018-Q1,Czech,0.006620742,0.324469184,0.31921963
2018-Q1,Denmark,0.007528648,0.191387943,0.224510902
2018-Q1,Estonia,NA,NA,0.41846088
2018-Q1,Finland,0.012299141,0.277296944,0.362786721
2018-Q1,France,0.007520522,0.382235672,0.345728391
2018-Q1,Germany,0.010249246,0.254292738,0.36191238
2018-Q1,Greece,0.048015548,0.214642678,0.400824056
2018-Q1,Hungary,0.003767756,0.277530903,0.414389997
2018-Q1,Ireland,0.017085236,0.309968914,0.360320453
2018-Q1,Italy,0.065732929,0.419266071,0.371461884
2018-Q1,Latvia,NA,NA,0.420545491
2018-Q1,Lithuania,9.77248e-4,0.210090298,0.417181134
2018-Q1,Luxembourg,0.007541054,0.217684293,0.310726143
2018-Q1,Malta,NA,NA,0.239933761
2018-Q1,Netherlands,0.024869358,0.073524868,0.289633871
2018-Q1,Norway,0.018554543,0.117370957,0.265068248
2018-Q1,Poland,0.01099509,0.396325103,0.324250306
2018-Q1,Portugal,0.019882367,0.353698569,0.415753409
2018-Q1,Romania,0.013148814,0.45739043,0.380278244
2018-Q1,Slovakia,0.021341117,0.705594503,0.399649034
2018-Q1,Slovenia,0.019327211,NA,0.412569585
2018-Q1,Spain,0.029068063,0.229364827,0.403223976
2018-Q1,Sweden,0.002154603,0.204265234,0.254855074
2018-Q1,United Kingdom,0.013013795,0.145722193,0.360874077
2018-Q1,Australia,0.004328549,NA,0.303276509
2018-Q1,Canada,0.005663088,0.234739889,0.353492176
2018-Q1,China,NA,NA,0.478661391
2018-Q1,Hong Kong,0.004376411,NA,0.365241203
2018-Q1,India,0.001970164,NA,0.4526547
2018-Q1,"Korea, Republic Of",NA,NA,0.334510413
2018-Q1,Russian Federation,NA,NA,0.390220116
2018-Q1,Singapore,0.013734941,NA,0.289134294
2018-Q1,Switzerland,0.01966666,0.032214899,0.328195428
2018-Q1,United States,0.005918717,0.27157971,0.324186181
2018-Q2,Austria,0.0154333339,0.3532616785,0.2953868669
2018-Q2,Belgium,0.0084336117,0.1575534221,0.2885192699
2018-Q2,Bulgaria,NA,NA,0.402692485
2018-Q2,Croatia,0.0388270897,0.2532421441,0.3901960273
2018-Q2,Cyprus,0.0969398392,0.2394810896,0.3066253225
2018-Q2,Czech,0.0059606085,0.3507071867,0.3199241544
2018-Q2,Denmark,0.0064578269,0.2078570661,0.2229729129
2018-Q2,Estonia,0.0023030538,NA,0.418131763
2018-Q2,Finland,0.0112329781,0.2344938533,0.3612119765
2018-Q2,France,0.0070844116,0.3484861175,0.3377250393
2018-Q2,Germany,0.0098157074,0.2906322803,0.3633786253
