iso2,quarter,gdp_growth_yoy,inflation_yoy
AT,2013-Q1,-1.1,2.6
AT,2013-Q2,-0.3,2.2333333333333334
AT,2013-Q3,-0.3,1.9666666666666668
AT,2013-Q4,0.4,1.6666666666666667
AT,2014-Q1,0.8,1.5
AT,2014-Q2,0.9,1.6
AT,2014-Q3,0.7,1.5333333333333332
AT,2014-Q4,1.1,1.2333333333333334
AT,2015-Q1,1.1,0.6333333333333333
AT,2015-Q2,1.2,0.9666666666666667
AT,2015-Q3,1.4,0.9
AT,2015-Q4,1.4,0.7666666666666667
AT,2016-Q1,2.5,1.0333333333333332
AT,2016-Q2,1.9,0.6
AT,2016-Q3,2.1,0.7666666666666667
AT,2016-Q4,2.3,1.5
AT,2017-Q1,2.1,2.2
AT,2017-Q2,2.5,2.1333333333333333
AT,2017-Q3,2.6,2.2
AT,2017-Q4,2.4,2.3666666666666667
AT,2018-Q1,2,1.9333333333333333
AT,2018-Q2,2.5,2.1333333333333333
AT,2018-Q3,2.3,2.2333333333333334
AT,2018-Q4,2.8,2.1333333333333333
AT,2019-Q1,3.3,1.5999999999999999
AT,2019-Q2,1.9,1.6666666666666667
AT,2019-Q3,1.6,1.3666666666666667
AT,2019-Q4,0,1.3333333333333333
AT,2020-Q1,-2.2,2
AT,2020-Q2,-14,1.0666666666666667
AT,2020-Q3,-4.3,1.4666666666666666
AT,2020-Q4,-5.1,1.0666666666666667
AT,2021-Q1,-4.9,1.5
AT,2021-Q2,13.8,2.5666666666666664
AT,2021-Q3,5.3,3.1
AT,2021-Q4,7.1,3.9
AT,2022-Q1,8.5,5.533333333333333
AT,2022-Q2,6.8,7.833333333333333
AT,2022-Q3,3.5,9.9
AT,2022-Q4,3.2,11.1
AT,2023-Q1,2.8,10.6
AT,2023-Q2,-1.3,8.633333333333333
AT,2023-Q3,-1.8,6.766666666666667
AT,2023-Q4,-2.2,5.166666666666667
AT,2024-Q1,-2.1,4.133333333333333
AT,2024-Q2,-1,3.2666666666666666
AT,2024-Q3,-0.6,2.3666666666666667
AT,2024-Q4,0.3,1.9333333333333333
AT,2025-Q1,0.6,3.3
AT,2025-Q2,0.9,3.1666666666666665
AT,2025-Q3,1.3,3.9
AT,2025-Q4,1.1,3.933333333333333
AT,2026-Q1,0.9,2.533333333333333
AT,2026-Q2,0.8,3.4333333333333336
BE,2013-Q1,-0.6,1.4666666666666666
BE,2013-Q2,0.3,1.3333333333333333
BE,2013-Q3,0.5,1.2333333333333334
BE,2013-Q4,0.9,0.9333333333333333
BE,2014-Q1,1.9,0.9
BE,2014-Q2,1.5,0.7
BE,2014-Q3,1.8,0.3666666666666667
BE,2014-Q4,1.9,0
BE,2015-Q1,1.6,-0.36666666666666664
BE,2015-Q2,1.8,0.7000000000000001
BE,2015-Q3,1.3,0.8666666666666667
BE,2015-Q4,1.2,1.3666666666666667
BE,2016-Q1,1.1,1.5
BE,2016-Q2,1.2,1.6333333333333333
BE,2016-Q3,1.2,1.9333333333333333
BE,2016-Q4,1.3,1.9333333333333333
BE,2017-Q1,1.8,2.966666666666667
BE,2017-Q2,1.4,2.033333333333333
BE,2017-Q3,1.2,1.9333333333333333
BE,2017-Q4,1.6,2
BE,2018-Q1,1.4,1.6
BE,2018-Q2,1.7,2.1666666666666665
BE,2018-Q3,2.2,2.7
BE,2018-Q4,2.3,2.7666666666666666
BE,2019-Q1,2.3,2
BE,2019-Q2,2.4,1.6666666666666667
BE,2019-Q3,2.7,0.9
BE,2019-Q4,2.4,0.5
BE,2020-Q1,-0.7,0.9333333333333333
BE,2020-Q2,-12.1,0
BE,2020-Q3,-2.7,0.4333333333333333
BE,2020-Q4,-3.7,0.33333333333333337
BE,2021-Q1,0.5,0.8333333333333334
BE,2021-Q2,14.5,2.4
BE,2021-Q3,4.7,3.3
BE,2021-Q4,6.2,6.366666666666666
BE,2022-Q1,5.1,9.1
BE,2022-Q2,4.7,9.9
BE,2022-Q3,3.5,11
BE,2022-Q4,2.8,11.266666666666666
BE,2023-Q1,2.5,5.9
BE,2023-Q2,1.6,2.533333333333333
BE,2023-Q3,1.1,1.5999999999999999
BE,2023-Q4,1.1,-0.6666666666666666
BE,2024-Q1,1.2,2.966666666666667
BE,2024-Q2,1.1,5.066666666666667
BE,2024-Q3,1.1,4.666666666666667
BE,2024-Q4,0.9,4.566666666666666
BE,2025-Q1,1,4.133333333333334
BE,2025-Q2,1,2.933333333333333
BE,2025-Q3,1,2.6333333333333333
BE,2025-Q4,0.9,2.4333333333333336
BE,2026-Q1,0.8,1.6666666666666667
BE,2026-Q2,0.5,3.8333333333333335
BG,2013-Q1,-1.1,2.1333333333333333
BG,2013-Q2,-1,1.0333333333333332
BG,2013-Q3,-0.4,-0.6666666666666666
