iso2,country_name,quarter,default_rate,loss_rate,lgd,gdp_growth_yoy,inflation_yoy
AT,Austria,2015-Q4,0.8779276,34.4865319,30.882846000000004,1.4,0.7666666666666667
AT,Austria,2016-Q1,0.7409857,24.2531614,30.7009263,2.5,1.0333333333333332
AT,Austria,2016-Q2,0.6584450000000001,19.1693366,30.6545214,1.9,0.6
AT,Austria,2016-Q3,0.7830579000000001,18.0601638,29.1282396,2.1,0.7666666666666667
AT,Austria,2016-Q4,0.7623391,22.3725053,30.439613100000003,2.3,1.5
AT,Austria,2017-Q1,0.8199999999999991,24.46,29.79,2.1,2.2
AT,Austria,2017-Q2,0.8099999999999999,22.73,29.969999999999995,2.5,2.1333333333333333
AT,Austria,2017-Q3,0.6983056,25.9917726,29.793406500000003,2.6,2.2
AT,Austria,2017-Q4,1.953722082948942,31.599580995117112,29.73038153601134,2.4,2.3666666666666667
AT,Austria,2018-Q1,1.4786136,29.3980209,29.603755,2,1.9333333333333333
AT,Austria,2018-Q2,1.5433333900000001,35.326167850000004,29.53868669,2.5,2.1333333333333333
AT,Austria,2018-Q3,1.4795981,36.4961306,29.749473300000002,2.3,2.2333333333333334
AT,Austria,2018-Q4,0.9515030000000001,45.3846269,30.6877807,2.8,2.1333333333333333
AT,Austria,2019-Q1,0.76466750000000006,,30.875298899999997,3.3,1.5999999999999999
AT,Austria,2019-Q2,0.8145833817187319,38.9218523172608,30.794920744557302,1.9,1.6666666666666667
AT,Austria,2019-Q3,0.91384502,29.58530076,30.955557099999996,1.6,1.3666666666666667
AT,Austria,2019-Q4,0.649841850191333,29.37275120526091,30.943029484029488,0,1.3333333333333333
AT,Austria,2020-Q1,0.84734840506805,30.724255629850838,31.208648391207017,-2.2,2
AT,Austria,2020-Q2,0.83203948,21.08955227,30.83679088,-14,1.0666666666666667
AT,Austria,2020-Q3,0.83472134,21.69457566,33.69948551,-4.3,1.4666666666666666
AT,Austria,2020-Q4,1.288956668529118,40.83842865431033,33.68645675459674,-5.1,1.0666666666666667
AT,Austria,2021-Q1,1.35548661,37.8791132,33.75543132,-4.9,1.5
AT,Austria,2021-Q2,1.39529187384749,35.83892288661208,34.30224794716468,13.8,2.5666666666666664
AT,Austria,2021-Q3,1.0961878929395281,41.01928209622564,34.14595499051355,5.3,3.1
AT,Austria,2021-Q4,0.285636681076886,28.0699183465125,34.29201144788296,7.1,3.9
AT,Austria,2022-Q1,0.375767294851481,30.438712625405316,34.13212621810317,8.5,5.533333333333333
AT,Austria,2022-Q2,0.354367516821661,30.09423426043152,34.14912989576844,6.8,7.833333333333333
AT,Austria,2022-Q3,0.458085702655789,30.20244351167844,31.26190511541101,3.5,9.9
AT,Austria,2022-Q4,0.553488308676076,27.223729090529215,33.47490561857629,3.2,11.1
AT,Austria,2023-Q1,0.506734051551716,25.49108029705164,33.54442459533018,2.8,10.6
AT,Austria,2023-Q2,0.44555649142488696,26.071284823151185,35.591523462278246,-1.3,8.633333333333333
AT,Austria,2023-Q3,0.486610694067612,28.819310412057142,34.14969966413673,-1.8,6.766666666666667
AT,Austria,2023-Q4,1.0830280407429111,22.890722552555413,34.00911605796948,-2.2,5.166666666666667
AT,Austria,2024-Q1,1.275380232362238,21.921836825304148,33.96951140613334,-2.1,4.133333333333333
AT,Austria,2024-Q2,1.264799884098102,18.14099993298948,34.01890997932651,-1,3.2666666666666666
AT,Austria,2024-Q3,1.332365160059685,21.243244466145615,34.077927672522456,-0.6,2.3666666666666667
AT,Austria,2024-Q4,1.2581908806090532,34.71180883480226,34.02591875113532,0.3,1.9333333333333333
AT,Austria,2025-Q1,1.050322767192591,35.235609032400845,31.404140495444928,0.6,3.3
AT,Austria,2025-Q2,1.1116957258610929,35.886999963664984,31.58626852866461,0.9,3.1666666666666665
AT,Austria,2025-Q3,1.1648670558701,33.67050233537838,31.62837339612793,1.3,3.9
AT,Austria,2025-Q4,1.237441119579205,28.78303226366826,31.732827645145594,1.1,3.933333333333333
AT,Austria,2026-Q1,1.363596970237,29.622126012901003,31.650290996497997,0.9,2.533333333333333
BE,Belgium,2015-Q4,1.4996402,27.451003200000002,27.893209000000002,1.2,1.3666666666666667
BE,Belgium,2016-Q1,1.4213738999999999,27.6946472,26.625280899999996,1.1,1.5
BE,Belgium,2016-Q2,1.4618025,25.004714300000003,26.422701599999996,1.2,1.6333333333333333
BE,Belgium,2016-Q3,1.4018659,24.4313936,26.5071081,1.2,1.9333333333333333
BE,Belgium,2016-Q4,1.2347135,16.9263375,26.648013900000002,1.3,1.9333333333333333
BE,Belgium,2017-Q1,1.189999999999999,14.529999999999998,27.99,1.8,2.966666666666667
BE,Belgium,2017-Q2,1.02,14.45,27.62,1.4,2.033333333333333
BE,Belgium,2017-Q3,0.8040782999999999,13.7112553,27.6659486,1.2,1.9333333333333333
BE,Belgium,2017-Q4,0.761842129642527,14.486615658028654,27.76714350687297,1.6,2
BE,Belgium,2018-Q1,0.8103107,16.9872951,28.783725500000003,1.4,1.6
